ort,plz,landkreis
Bad Neustadt an der Saale,97616,Landkreis Rhön-Grabfeld
Bad Oeynhausen,32545,Kreis Minden-Lübbecke
Bad Oeynhausen,32547,Kreis Minden-Lübbecke
Bad Oeynhausen,32549,Kreis Minden-Lübbecke
Bad Oldesloe,23843,Kreis Stormarn
Bad Orb,63619,Main-Kinzig-Kreis
Bad Peterstal-Griesbach,72250,Ortenaukreis
Bad Peterstal-Griesbach,77740,Ortenaukreis
Bad Pyrmont,31812,Landkreis Hameln-Pyrmont
Bad Rappenau,74906,Landkreis Heilbronn
Bad Reichenhall,83435,Landkreis Berchtesgadener Land
Bad Rippoldsau-Schapbach,77776,Landkreis Freudenstadt
Bad Rodach,96476,Landkreis Coburg
Bad Rothenfelde,49214,Landkreis Osnabrück
Bad Saarow,15526,Landkreis Oder-Spree
Bad Sachsa,37441,Landkreis Göttingen
Bad Säckingen,79713,Landkreis Waldshut
Bad Salzdetfurth,31162,Landkreis Hildesheim
Bad Salzschlirf,36364,Landkreis Fulda
Bad Salzuflen,32105,Kreis Lippe
Bad Salzuflen,32107,Kreis Lippe
Bad Salzuflen,32108,Kreis Lippe
Bad Salzungen,36433,Wartburgkreis
Bad Sassendorf,59505,Kreis Soest
Bad Saulgau,88348,Landkreis Sigmaringen
Bad Schandau,01814,Landkreis Sächsische Schweiz-Osterzgebirge
Bad Schlema,08301,Erzgebirgskreis
Bad Schmiedeberg,06905,Landkreis Wittenberg
Bad Schönborn,76669,Landkreis Karlsruhe
Bad Schussenried,88427,Landkreis Biberach
Bad Schwalbach,65307,Rheingau-Taunus-Kreis
Bad Schwartau,23611,Kreis Ostholstein
Bad Segeberg,23795,Kreis Segeberg
Bad Sobernheim,55566,Landkreis Bad Kreuznach
Bad Soden,65812,Main-Taunus-Kreis
Bad Soden-Salmünster,63628,Main-Kinzig-Kreis
Bad Sooden-Allendorf,37242,Werra-Meißner-Kreis
Bad Staffelstein,96231,Landkreis Lichtenfels
Bad Steben,95138,Landkreis Hof
Bad Sulza,99510,Landkreis Weimarer Land
Bad Sulza,99518,Landkreis Weimarer Land
Bad Sülze,18334,Landkreis Vorpommern-Rügen
Bad Tabarz,99891,Landkreis Gotha
Bad Teinach-Zavelstein,75385,Landkreis Calw
Bad Tennstedt,99955,Unstrut-Hainich-Kreis
Bad Tölz,83646,Landkreis Bad Tölz-Wolfratshausen
Bad Überkingen,73337,Landkreis Göppingen
Bad Urach,72574,Landkreis Reutlingen
Bad Vilbel,61118,Wetteraukreis
Bad Waldsee,88339,Landkreis Ravensburg
Bad Wiessee,83707,Landkreis Miesbach
Bad Wildbad,75323,Landkreis Calw
Bad Wildungen,34537,Landkreis Waldeck-Frankenberg
Bad Wilsnack,19336,Landkreis Prignitz
Bad Wimpfen,74206,Landkreis Heilbronn
Bad Windsheim,91438,Landkreis Neustadt an der Aisch-Bad Windsheim
Bad Wörishofen,86825,Landkreis Unterallgäu
Bad Wünnenberg,33181,Kreis Paderborn
Bad Wurzach,88410,Landkreis Ravensburg
Bad Zwesten,34596,Schwalm-Eder-Kreis
Bad Zwischenahn,26160,Landkreis Ammerland
Baesweiler,52499,Städteregion Aachen
Bahlingen,79353,Landkreis Emmendingen
Bahrdorf,38459,Landkreis Helmstedt
Bahrenborstel,27245,Landkreis Diepholz
Bahrenfleth,25569,Kreis Steinburg
Bahrenhof,23845,Kreis Segeberg
Bahretal,01819,Landkreis Sächsische Schweiz-Osterzgebirge
Baienfurt,88255,Landkreis Ravensburg
Baierbach,84171,Landkreis Landshut
Baierbrunn,82065,Landkreis München
Baiern,85625,Landkreis Ebersberg
Baiersbronn,72270,Landkreis Freudenstadt
Baiersdorf,91083,Landkreis Erlangen-Höchstadt
Baindt,88255,Landkreis Ravensburg
Baisweil,87650,Landkreis Ostallgäu
Bäk,23909,Kreis Herzogtum Lauenburg
Bakum,49456,Landkreis Vechta
Bälau,23881,Kreis Herzogtum Lauenburg
Balderschwang,87538,Landkreis Oberallgäu
Baldringen,54314,Landkreis Trier-Saarburg
Balduinstein,65558,Rhein-Lahn-Kreis
Balesfeld,54597,Eifelkreis Bitburg-Prüm
Balge,31609,Landkreis Nienburg/Weser
Balgheim,78582,Landkreis Tuttlingen
Balgstädt,06632,Burgenlandkreis
Balingen,72336,Zollernalbkreis
Balje,21730,Landkreis Stade
Ballendorf,89177,Alb-Donau-Kreis
Ballenstedt,06493,Landkreis Harz
Ballhausen,99955,Unstrut-Hainich-Kreis
Ballrechten-Dottingen,79282,Landkreis Breisgau-Hochschwarzwald
Ballstädt,99869,Landkreis Gotha
Ballstedt,99439,Landkreis Weimarer Land
Balow,19300,Landkreis Ludwigslust-Parchim
Baltmannsweiler,73666,Landkreis Esslingen
Baltrum,26579,Landkreis Aurich
Balve,58802,Märkischer Kreis
Balzhausen,86483,Landkreis Günzburg
Balzheim,88481,Alb-Donau-Kreis
Bamberg,96047,
Bamberg,96049,
Bamberg,96050,
Bamberg,96052,
Bammental,69245,Rhein-Neckar-Kreis
Bandelin,17506,Landkreis Vorpommern-Greifswald
Bandenitz,19230,Landkreis Ludwigslust-Parchim
Bann,66851,Landkreis Kaiserslautern
Bannberscheid,56424,Westerwaldkreis
Bannewitz,01728,Landkreis Sächsische Schweiz-Osterzgebirge
Banzkow,19079,Landkreis Ludwigslust-Parchim
Barbelroth,76889,Landkreis Südliche Weinstraße
Barbing,93092,Landkreis Regensburg
Barby,39240,Salzlandkreis
Barby,39249,Salzlandkreis
Barchfeld-Immelborn,36456,Wartburgkreis
Bardowick,21357,Landkreis Lüneburg
Bärenbach,55483,Rhein-Hunsrück-Kreis
Bärenbach,55758,Landkreis Bad Kreuznach
Barenburg,27245,Landkreis Diepholz
Barendorf,21397,Landkreis Lüneburg
Bärenstein,09471,Erzgebirgskreis
Bärenthal,78580,Landkreis Tuttlingen
Bargenstedt,25704,Kreis Dithmarschen
Bargfeld-Stegen,23863,Kreis Stormarn
Bargischow,17398,Landkreis Vorpommern-Greifswald
Bargstall,24806,Kreis Rendsburg-Eckernförde
Bargstedt,21698,Landkreis Stade
Bargstedt,24793,Kreis Rendsburg-Eckernförde
Bargteheide,22941,Kreis Stormarn
Bargum,25842,Kreis Nordfriesland
Bark,23826,Kreis Segeberg
Barkelsby,24360,Kreis Rendsburg-Eckernförde
Barkenholm,25791,Kreis Dithmarschen
Barkhagen,19395,Landkreis Ludwigslust-Parchim
Barleben,39179,Landkreis Börde
Barlt,25719,Kreis Dithmarschen
Barmissen,24245,Kreis Plön
Barmstedt,25355,Kreis Pinneberg
Bärnau,95671,Landkreis Tirschenreuth
Barnekow,23968,Landkreis Nordwestmecklenburg
Barnin,19089,Landkreis Ludwigslust-Parchim
Barnitz,23858,Kreis Stormarn
Barnstädt,06268,Saalekreis
Barnstedt,21406,Landkreis Lüneburg
Barnstorf,49406,Landkreis Diepholz
Barntrup,32683,Kreis Lippe
Barsbek,24217,Kreis Plön
Barsbüttel,22885,Kreis Stormarn
Barsinghausen,30890,Region Hannover
Barßel,26676,Landkreis Cloppenburg
Bartenshagen-Parkentin,18209,Landkreis Rostock
Barth,18356,Landkreis Vorpommern-Rügen
Bartholomä,73566,Ostalbkreis
Bartow,17089,Landkreis Mecklenburgische Seenplatte
Barum,29576,Landkreis Uelzen
Barum,21357,Landkreis Lüneburg
Baruth/Mark,15837,Landkreis Teltow-Fläming
Barver,49453,Landkreis Diepholz
Barwedel,38476,Landkreis Gifhorn
Barweiler,53534,Landkreis Ahrweiler
Bärweiler,55606,Landkreis Bad Kreuznach
Basberg,54578,Landkreis Vulkaneifel
Basdahl,27432,Landkreis Rotenburg (Wümme)
Basedow,17139,Landkreis Mecklenburgische Seenplatte
Basedow,21483,Kreis Herzogtum Lauenburg
Bassenheim,56220,Landkreis Mayen-Koblenz
Bassum,27211,Landkreis Diepholz
Bastheim,97654,Landkreis Rhön-Grabfeld
Basthorst,21493,Kreis Herzogtum Lauenburg
Bastorf,18230,Landkreis Rostock
Battenberg,35088,Landkreis Waldeck-Frankenberg
Battenberg (Pfalz),67271,Landkreis Bad Dürkheim
Battweiler,66484,Landkreis Südwestpfalz
Baudenbach,91460,Landkreis Neustadt an der Aisch-Bad Windsheim
Bauler,53534,Landkreis Ahrweiler
Bauler,54673,Eifelkreis Bitburg-Prüm
Baumgarten,18246,Landkreis Rostock
Baumgarten,18249,Landkreis Rostock
Baumholder,55774,Landkreis Birkenfeld
Baunach,96148,Landkreis Bamberg
Baunatal,34225,Landkreis Kassel
Bausendorf,54538,Landkreis Bernkastel-Wittlich
Baustert,54636,Eifelkreis Bitburg-Prüm
Bautzen,02625,Landkreis Bautzen
Bawinkel,49844,Landkreis Emsland
Bayerbach,94137,Landkreis Rottal-Inn
Bayerbach b. Ergoldsbach,84092,Landkreis Landshut
Bayerfeld-Steckweiler,67808,Donnersbergkreis
Bayerfeld-Steckweiler,67822,Donnersbergkreis
Bayerisch Eisenstein,94252,Landkreis Regen
Bayerisch Gmain,83457,Landkreis Berchtesgadener Land
Bayreuth,95444,
Bayreuth,95445,
Bayreuth,95447,
Bayreuth,95448,
Bayrischzell,83735,Landkreis Miesbach
Bebensee,23816,Kreis Segeberg
Bebra,36179,Landkreis Hersfeld-Rotenburg
Becheln,56132,Rhein-Lahn-Kreis
Bechenheim,55234,Landkreis Alzey-Worms
Becherbach,67827,Landkreis Bad Kreuznach
Becherbach bei Kirn,55608,Landkreis Bad Kreuznach
Bechhofen,91572,Landkreis Ansbach
Bechhofen,66894,Landkreis Südwestpfalz
Bechstedt,07426,Landkreis Saalfeld-Rudolstadt
Bechstedtstraß,99428,Landkreis Weimarer Land
Bechtheim,67595,Landkreis Alzey-Worms
Bechtolsheim,55234,Landkreis Alzey-Worms
Bechtsrieth,92699,Landkreis Neustadt an der Waldnaab
Beckdorf,21643,Landkreis Stade
Beckedorf,31699,Landkreis Schaumburg
Beckeln,27243,Landkreis Oldenburg
Beckingen,66701,Landkreis Merzig-Wadern
Beckum,59269,Kreis Warendorf
Bedburg,50181,Rhein-Erft-Kreis
Bedburg-Hau,47551,Kreis Kleve
Bedesbach,66885,Landkreis Kusel
Beedenbostel,29355,Landkreis Celle
Beelen,48361,Kreis Warendorf
Beelitz,14547,Landkreis Potsdam-Mittelmark
Beendorf,39343,Landkreis Börde
Beeskow,15848,Landkreis Oder-Spree
Beesten,49832,Landkreis Emsland
Beetzendorf,38489,Altmarkkreis Salzwedel
Beetzsee,14778,Landkreis Potsdam-Mittelmark
Beetzseeheide,14778,Landkreis Potsdam-Mittelmark
Beggerow,17111,Landkreis Mecklenburgische Seenplatte
Behlendorf,23919,Kreis Herzogtum Lauenburg
Behrendorf,25850,Kreis Nordfriesland
Behrenhoff,17498,Landkreis Vorpommern-Greifswald
Behren-Lübchin,17179,Landkreis Rostock
Behrensdorf,24321,Kreis Plön
Beichlingen,99625,Landkreis Sömmerda
Beidenfleth,25573,Kreis Steinburg
Beiersdorf,02736,Landkreis Görlitz
Beiersdorf-Freudenberg,16259,Landkreis Märkisch-Oderland
Beierstedt,38382,Landkreis Helmstedt
Beilingen,54662,Eifelkreis Bitburg-Prüm
Beilngries,92339,Landkreis Eichstätt
Beilrode,04886,Landkreis Nordsachsen
Beilstein,71543,Landkreis Heilbronn
Beilstein,71717,Landkreis Heilbronn
Beilstein,56814,Landkreis Cochem-Zell
Beimerstetten,89179,Alb-Donau-Kreis
Beindersheim,67259,Rhein-Pfalz-Kreis
Beinerstadt,98660,Landkreis Hildburghausen
Beinhausen,54552,Landkreis Vulkaneifel
Bekdorf,25554,Kreis Steinburg
Bekmünde,25524,Kreis Steinburg
Bekond,54340,Landkreis Trier-Saarburg
Belau,24601,Kreis Plön
Beldorf,25557,Kreis Rendsburg-Eckernförde
Beldorf,25767,Kreis Rendsburg-Eckernförde
Belg,56858,Rhein-Hunsrück-Kreis
Belgern-Schildau,04874,Landkreis Nordsachsen
Belgern-Schildau,04889,Landkreis Nordsachsen
Belgershain,04683,Landkreis Leipzig
Belgweiler,55469,Rhein-Hunsrück-Kreis
Bell,56745,Landkreis Mayen-Koblenz
Bellenberg,89287,Landkreis Neu-Ulm
Bellheim,76756,Landkreis Germersheim
Bell (Hunsrück),56288,Rhein-Hunsrück-Kreis
Bellingen,56459,Westerwaldkreis
Bellstedt,99713,Kyffhäuserkreis
Belm,49191,Landkreis Osnabrück
Belrieth,98617,Landkreis Schmalkalden-Meiningen
Belsch,19230,Landkreis Ludwigslust-Parchim
Beltheim,56290,Rhein-Hunsrück-Kreis
Belum,21785,Landkreis Cuxhaven
Bempflingen,72658,Landkreis Esslingen
Bendestorf,21227,Landkreis Harburg
Bendfeld,24217,Kreis Plön
Bendorf,56170,Landkreis Mayen-Koblenz
Bendorf,25557,Kreis Rendsburg-Eckernförde
Benediktbeuern,83671,Landkreis Bad Tölz-Wolfratshausen
Bengel,54538,Landkreis Bernkastel-Wittlich
Bengerstorf,19258,Landkreis Ludwigslust-Parchim
Benitz,18258,Landkreis Rostock
Benndorf,06308,Landkreis Mansfeld-Südharz
Bennewitz,04828,Landkreis Leipzig
Bennhausen,67808,Donnersbergkreis
Benningen,87734,Landkreis Unterallgäu
Benningen am Neckar,71726,Landkreis Ludwigsburg
Bensdorf,14789,Landkreis Potsdam-Mittelmark
Benshausen,98554,Landkreis Schmalkalden-Meiningen
Bensheim,64625,Kreis Bergstraße
Bentwisch,18182,Landkreis Rostock
Bentwisch,18184,Landkreis Rostock
Bentzin,17129,Landkreis Vorpommern-Greifswald
Benz,17429,Landkreis Vorpommern-Greifswald
Benz,23970,Landkreis Nordwestmecklenburg
Benzweiler,55494,Rhein-Hunsrück-Kreis
Beratzhausen,93176,Landkreis Regensburg
Berching,92334,Landkreis Neumarkt in der Oberpfalz
Berchtesgaden,83471,Landkreis Berchtesgadener Land
Bereborn,56769,Landkreis Vulkaneifel
Berenbach,56766,Landkreis Vulkaneifel
Berg,56357,Rhein-Lahn-Kreis
Berg,82335,Landkreis Starnberg
Berg,95180,Landkreis Hof
Berg,53505,Landkreis Ahrweiler
Berg,88276,Landkreis Ravensburg
Berga,06536,Landkreis Mansfeld-Südharz
Berga/Elster,07980,Landkreis Greiz
Bergatreute,88368,Landkreis Ravensburg
Berg b.Neumarkt i.d.OPf.,92348,Landkreis Neumarkt in der Oberpfalz
Berge,19348,Landkreis Prignitz
Berge,49626,Landkreis Osnabrück
Bergen,08239,Vogtlandkreis
Bergen,83346,Landkreis Traunstein
Bergen,91790,Landkreis Weißenburg-Gunzenhausen
Bergen,55608,Landkreis Birkenfeld
Bergen,29303,Landkreis Celle
Bergen an der Dumme,29468,Landkreis Lüchow-Dannenberg
Bergen auf Rügen,18528,Landkreis Vorpommern-Rügen
Bergenhausen,55469,Rhein-Hunsrück-Kreis
Bergenhusen,24861,Kreis Schleswig-Flensburg
Bergewöhrden,25779,Kreis Dithmarschen
Bergfeld,38467,Landkreis Gifhorn
Berghaupten,77791,Ortenaukreis
Berghausen,56368,Rhein-Lahn-Kreis
Bergheim,50126,Rhein-Erft-Kreis
Bergheim,50127,Rhein-Erft-Kreis
Bergheim,50129,Rhein-Erft-Kreis
Bergheim,86673,Landkreis Neuburg-Schrobenhausen
Bergholz,17321,Landkreis Vorpommern-Greifswald
Berghülen,89180,Alb-Donau-Kreis
Berg im Gau,86562,Landkreis Neuburg-Schrobenhausen
Bergisch Gladbach,51427,Rheinisch-Bergischer Kreis
Bergisch Gladbach,51429,Rheinisch-Bergischer Kreis
Bergisch Gladbach,51465,Rheinisch-Bergischer Kreis
Bergisch Gladbach,51467,Rheinisch-Bergischer Kreis
Bergisch Gladbach,51469,Rheinisch-Bergischer Kreis
Bergkamen,59192,Kreis Unna
Bergkirchen,85232,Landkreis Dachau
Berglangenbach,55776,Landkreis Birkenfeld
Berglen,73663,Rems-Murr-Kreis
Berglern,85459,Landkreis Erding
Berglicht,54426,Landkreis Bernkastel-Wittlich
Bergneustadt,51702,Oberbergischer Kreis
Berg (Pfalz),76768,Landkreis Germersheim
Bergrheinfeld,97493,Landkreis Schweinfurt
Bergtheim,97241,Landkreis Würzburg
Bergweiler,54518,Landkreis Bernkastel-Wittlich
Beringstedt,25575,Kreis Rendsburg-Eckernförde
Berkatal,37297,Werra-Meißner-Kreis
Berka vor dem Hainich,99826,Wartburgkreis
Berka/Werra,99837,Wartburgkreis
Berkenbrück,15518,Landkreis Oder-Spree
Berkenthin,23919,Kreis Herzogtum Lauenburg
Berkheim,88450,Landkreis Biberach
Berkholz-Meyenburg,16306,Landkreis Uckermark
Berkoth,54673,Eifelkreis Bitburg-Prüm
Berlin,10115,
Berlin,10117,
Berlin,10119,
Berlin,10178,
Berlin,10179,
Berlin,10243,
Berlin,10245,
Berlin,10247,
Berlin,10249,
Berlin,10315,
Berlin,10317,
Berlin,10318,
Berlin,10319,
Berlin,10365,
Berlin,10367,
Berlin,10369,
Berlin,10405,
Berlin,10407,
Berlin,10409,
Berlin,10435,
Berlin,10437,
Berlin,10439,
Berlin,10551,
Berlin,10553,
Berlin,10555,
Berlin,10557,
Berlin,10559,
Berlin,10585,
Berlin,10587,
Berlin,10589,
Berlin,10623,
Berlin,10625,
Berlin,10627,
Berlin,10629,
Berlin,10707,
Berlin,10709,
Berlin,10711,
Berlin,10713,
Berlin,10715,
Berlin,10717,
Berlin,10719,
Berlin,10777,
Berlin,10779,
Berlin,10781,
Berlin,10783,
Berlin,10785,
Berlin,10787,
Berlin,10789,
Berlin,10823,
Berlin,10825,
Berlin,10827,
Berlin,10829,
Berlin,10961,
Berlin,10963,
Berlin,10965,
Berlin,10967,
Berlin,10969,
Berlin,10997,
Berlin,10999,
Berlin,12043,
Berlin,12045,
Berlin,12047,
Berlin,12049,
Berlin,12051,
Berlin,12053,
Berlin,12055,
Berlin,12057,
Berlin,12059,
Berlin,12099,
Berlin,12101,
Berlin,12103,
Berlin,12105,
Berlin,12107,
Berlin,12109,
Berlin,12157,
Berlin,12159,
Berlin,12161,
Berlin,12163,
Berlin,12165,
Berlin,12167,
Berlin,12169,
Berlin,12203,
Berlin,12205,
Berlin,12207,
Berlin,12209,
Berlin,12247,
Berlin,12249,
Berlin,12277,
Berlin,12279,
Berlin,12305,
Berlin,12307,
Berlin,12309,
Berlin,12347,
Berlin,12349,
Berlin,12351,
Berlin,12353,
Berlin,12355,
Berlin,12357,
Berlin,12359,
Berlin,12435,
Berlin,12437,
Berlin,12439,
Berlin,12459,
Berlin,12487,
Berlin,12489,
Berlin,12524,
Berlin,12526,
Berlin,12527,
Berlin,12555,
Berlin,12557,
Berlin,12559,
Berlin,12587,
Berlin,12589,
Berlin,12619,
Berlin,12621,
Berlin,12623,
Berlin,12627,
Berlin,12629,
Berlin,12679,
Berlin,12681,
Berlin,12683,
Berlin,12685,
Berlin,12687,
Berlin,12689,
Berlin,13051,
Berlin,13053,
Berlin,13055,
Berlin,13057,
Berlin,13059,
Berlin,13086,
Berlin,13088,
Berlin,13089,
Berlin,13125,
Berlin,13127,
Berlin,13129,
Berlin,13156,
Berlin,13158,
Berlin,13159,
Berlin,13187,
Berlin,13189,
Berlin,13347,
Berlin,13349,
Berlin,13351,
Berlin,13353,
Berlin,13355,
Berlin,13357,
Berlin,13359,
Berlin,13403,
Berlin,13405,
Berlin,13407,
Berlin,13409,
Berlin,13435,
Berlin,13437,
Berlin,13439,
Berlin,13465,
Berlin,13467,
Berlin,13469,
Berlin,13503,
Berlin,13505,
Berlin,13507,
Berlin,13509,
Berlin,13581,
Berlin,13583,
Berlin,13585,
Berlin,13587,
Berlin,13589,
Berlin,13591,
Berlin,13593,
Berlin,13595,
Berlin,13597,
Berlin,13599,
Berlin,13627,
Berlin,13629,
Berlin,14050,
Berlin,14052,
Berlin,14053,
Berlin,14055,
Berlin,14057,
Berlin,14059,
Berlin,14089,
Berlin,14109,
Berlin,14129,
Berlin,14163,
Berlin,14165,
Berlin,14167,
Berlin,14169,
Berlin,14193,
Berlin,14195,
Berlin,14197,
Berlin,14199,
Berlingen,54570,Landkreis Vulkaneifel
Berlingerode,37339,Landkreis Eichsfeld
Berlstedt,99439,Landkreis Weimarer Land
Bermatingen,88697,Bodenseekreis
Bermbach,98587,Landkreis Schmalkalden-Meiningen
Bermel,56729,Landkreis Mayen-Koblenz
Bermersheim,67593,Landkreis Alzey-Worms
Bermersheim vor der Höhe,55234,Landkreis Alzey-Worms
Bernau,16321,Landkreis Barnim
Bernau am Chiemsee,83233,Landkreis Rosenheim
Bernau im Schwarzwald,79872,Landkreis Waldshut
Bernbeuren,86975,Landkreis Weilheim-Schongau
Bernburg,06406,Salzlandkreis
Berndorf,54578,Landkreis Vulkaneifel
Berndroth,56370,Rhein-Lahn-Kreis
Berne,27804,Landkreis Wesermarsch
Berngau,92361,Landkreis Neumarkt in der Oberpfalz
Bernhardswald,93170,Landkreis Regensburg
Bernitt,18246,Landkreis Rostock
Bernitt,18249,Landkreis Rostock
Bernkastel-Kues,54470,Landkreis Bernkastel-Wittlich
Bernkastel-Kues,54492,Landkreis Bernkastel-Wittlich
Bernried,94505,Landkreis Deggendorf
Bernried am Starnberger See,82347,Landkreis Weilheim-Schongau
Bernsdorf,09337,Landkreis Zwickau
Bernsdorf,02994,Landkreis Bautzen
Bernstadt,89182,Alb-Donau-Kreis
Bernstadt auf dem Eigen,02748,Landkreis Görlitz
Bernstorf,23936,Landkreis Nordwestmecklenburg
Bernterode,37308,Landkreis Eichsfeld
Berod bei Hachenburg,57614,Landkreis Altenkirchen
Berod bei Wallmerod,56414,Westerwaldkreis
Berscheid,54673,Eifelkreis Bitburg-Prüm
Berschweiler bei Baumholder,55777,Landkreis Birkenfeld
Berschweiler bei Kirn,55608,Landkreis Birkenfeld
Bersenbrück,49593,Landkreis Osnabrück
Bersteland,15910,Landkreis Dahme-Spreewald
Bertsdorf-Hörnitz,02763,Landkreis Görlitz
Berumbur,26524,Landkreis Aurich
Berzhahn,56459,Westerwaldkreis
Berzhausen,57632,Landkreis Altenkirchen
Bescheid,54413,Landkreis Trier-Saarburg
Beschendorf,23738,Kreis Ostholstein
Besdorf,25584,Kreis Steinburg
Beselich,65614,Landkreis Limburg-Weilburg
Besenthal,23899,Kreis Herzogtum Lauenburg
Beseritz,17039,Landkreis Mecklenburgische Seenplatte
Besigheim,74354,Landkreis Ludwigsburg
Besitz,19258,Landkreis Ludwigslust-Parchim
Bessenbach,63856,Landkreis Aschaffenburg
Bestensee,15741,Landkreis Dahme-Spreewald
Bestwig,59909,Hochsauerlandkreis
Bethenhausen,07554,Landkreis Greiz
Betteldorf,54570,Landkreis Vulkaneifel
Bettendorf,56355,Rhein-Lahn-Kreis
Bettenfeld,54533,Landkreis Bernkastel-Wittlich
Bettingen,54646,Eifelkreis Bitburg-Prüm
Betzdorf,57518,Landkreis Altenkirchen
Betzendorf,21386,Landkreis Lüneburg
Betzenstein,91282,Landkreis Bayreuth
Betzenweiler,88422,Landkreis Biberach
Betzigau,87488,Landkreis Oberallgäu
Beulich,56283,Rhein-Hunsrück-Kreis
Beuren,56825,Landkreis Cochem-Zell
Beuren,72660,Landkreis Esslingen
Beuren (Hochwald),54413,Landkreis Trier-Saarburg
Beuron,88631,Landkreis Sigmaringen
Beutelsbach,94501,Landkreis Passau
Bevern,25355,Kreis Pinneberg
Bevern,37639,Landkreis Holzminden
Beverstedt,27616,Landkreis Cuxhaven
Beverungen,37688,Kreis Höxter
Bexbach,66450,Saarpfalz-Kreis
Biberach an der Riß,88400,Landkreis Biberach
Biberach (Baden),77781,Ortenaukreis
Biberbach,86485,Landkreis Augsburg
Bibertal,89346,Landkreis Günzburg
Biblis,68647,Kreis Bergstraße
Bibow,19417,Landkreis Nordwestmecklenburg
Bibra,07768,Saale-Holzland-Kreis
Biburg,93354,Landkreis Kelheim
Bichl,83673,Landkreis Bad Tölz-Wolfratshausen
Bickenbach,64404,Landkreis Darmstadt-Dieburg
Bickenbach,56291,Rhein-Hunsrück-Kreis
Bickendorf,54636,Eifelkreis Bitburg-Prüm
Bidingen,87651,Landkreis Ostallgäu
Biebelnheim,55234,Landkreis Alzey-Worms
Biebelried,97318,Landkreis Kitzingen
Biebelsheim,55546,Landkreis Bad Kreuznach
Bieberehren,97243,Landkreis Würzburg
Biebergemünd,63599,Main-Kinzig-Kreis
Biebern,55471,Rhein-Hunsrück-Kreis
Biebertal,35444,Landkreis Gießen
Biebesheim,64584,Kreis Groß-Gerau
Biebrich,56370,Rhein-Lahn-Kreis
Biedenkopf,35216,Landkreis Marburg-Biedenkopf
Biederbach,79215,Landkreis Emmendingen
Biederitz,39175,Landkreis Jerichower Land
Biedershausen,66917,Landkreis Südwestpfalz
Biedesheim,67308,Donnersbergkreis
Bielefeld,33602,
Bielefeld,33604,
Bielefeld,33605,
Bielefeld,33607,
Bielefeld,33609,
Bielefeld,33611,
Bielefeld,33613,
Bielefeld,33615,
Bielefeld,33617,
Bielefeld,33619,
Bielefeld,33647,
Bielefeld,33649,
Bielefeld,33659,
Bielefeld,33689,
Bielefeld,33699,
Bielefeld,33719,
Bielefeld,33729,
Bielefeld,33739,
Biendorf,18230,Landkreis Rostock
Biendorf,18233,Landkreis Rostock
Bienenbüttel,29553,Landkreis Uelzen
Bienstädt,99100,Landkreis Gotha
Biersdorf am See,54636,Eifelkreis Bitburg-Prüm
Biesdorf,54675,Eifelkreis Bitburg-Prüm
Biesenthal,16359,Landkreis Barnim
Biessenhofen,87640,Landkreis Ostallgäu
Bietigheim,76467,Landkreis Rastatt
Bietigheim-Bissingen,74321,Landkreis Ludwigsburg
Bilkheim,56414,Westerwaldkreis
Billerbeck,48727,Kreis Coesfeld
Billigheim,74842,Neckar-Odenwald-Kreis
Billigheim-Ingenheim,76831,Landkreis Südliche Weinstraße
Bilsen,25485,Kreis Pinneberg
Bilshausen,37434,Landkreis Göttingen
Bilzingsleben,06578,Landkreis Sömmerda
Bimöhlen,24576,Kreis Segeberg
Binau,74862,Neckar-Odenwald-Kreis
Bindlach,95463,Landkreis Bayreuth
Bingen,72511,Landkreis Sigmaringen
Bingen am Rhein,55411,Landkreis Mainz-Bingen
Binnen,31619,Landkreis Nienburg/Weser
Binningen,56754,Landkreis Cochem-Zell
Binsfeld,54518,Landkreis Bernkastel-Wittlich
Binswangen,86637,Landkreis Dillingen an der Donau
Binz,18609,Landkreis Vorpommern-Rügen
Binzen,79589,Landkreis Lörrach
Bippen,49626,Landkreis Osnabrück
Birenbach,73102,Landkreis Göppingen
Birgel,54587,Landkreis Vulkaneifel
Birgland,92262,Landkreis Amberg-Sulzbach
Birkenau,69488,Kreis Bergstraße
Birkenbeul,57589,Landkreis Altenkirchen
Birkenfeld,75217,Enzkreis
Birkenfeld,97834,Landkreis Main-Spessart
Birkenfeld,55765,Landkreis Birkenfeld
Birkenfelde,37318,Landkreis Eichsfeld
Birkenheide,67134,Rhein-Pfalz-Kreis
Birken-Honigsessen,57587,Landkreis Altenkirchen
Birkenhördt,76889,Landkreis Südliche Weinstraße
Birkenhügel,07366,Saale-Orla-Kreis
